Hora	Eólica	Nuclear	Fuel/gas	Carbón	Ciclo combinado	Hidráulica	Intercambios int	Enlace balear	Solar fotovoltaica	Solar térmica	Térmica renovable	Cogeneración y residuos
2024-05-24 11:15	1473	4050	0	250	1006	783	-2703	-123	18090	1779	450	1881
2024-05-24 11:20	1452	4059	0	250	1017	575	-2716	-123	18252	1749	451	1874
2024-05-24 11:25	1426	4052	0	250	1028	549	-2757	-123	18282	1722	451	1835
2024-05-24 11:30	1397	4050	0	250	1054	406	-2629	-123	18396	1708	447	1878
2024-05-24 11:35	1374	4054	0	250	1065	425	-2918	-123	18435	1697	451	1876
2024-05-24 11:40	1315	4049	0	250	1054	469	-2928	-123	18421	1694	451	1867
2024-05-24 11:45	1261	4054	0	247	1039	439	-2821	-123	18365	1691	447	1820
2024-05-24 11:50	1250	4053	0	248	1052	549	-3065	-123	18571	1686	447	1871
2024-05-24 11:55	1232	4055	0	247	1058	605	-3026	-123	18643	1676	447	1884
2024-05-24 12:00	1194	4052	0	247	1065	504	-2947	-123	18677	1675	447	1875
2024-05-24 12:05	1211	4050	0	259	1089	543	-3320	-123	19010	1664	444	1846
2024-05-24 12:10	1199	4052	0	283	1091	493	-3301	-123	18901	1657	444	1877
2024-05-24 12:15	1183	4051	0	296	1110	517	-3259	-123	18955	1656	444	1878
2024-05-24 12:20	1205	4054	0	307	1106	509	-3072	-123	18919	1638	444	1875
2024-05-24 12:25	1195	4052	0	317	1113	559	-3229	-123	19029	1607	444	1837
2024-05-24 12:30	1185	4055	0	314	1114	552	-3486	-123	19014	1584	443	1875
2024-05-24 12:35	1174	4052	0	317	1122	589	-3468	-123	18949	1572	444	1874
2024-05-24 12:40	1208	4052	0	316	1148	554	-3546	-123	19001	1571	444	1875
2024-05-24 12:45	1228	4050	0	316	1141	563	-3496	-123	18998	1570	443	1874
2024-05-24 12:50	1255	4047	0	315	1142	562	-3325	-123	18984	1588	443	1816
2024-05-24 12:55	1276	4052	0	316	1133	447	-3209	-123	18923	1561	443	1843
2024-05-24 13:00	1282	4048	0	317	1106	348	-3018	-123	18750	1561	443	1841
2024-05-24 13:05	1265	4050	0	329	1004	232	-3207	-123	19096	1562	445	1832
2024-05-24 13:10	1278	4050	0	351	1000	-130	-2936	-123	19112	1562	445	1829
2024-05-24 13:15	1313	4052	0	361	971	-270	-2719	-123	19088	1562	445	1830
2024-05-24 13:20	1352	4045	0	360	971	-277	-2654	-123	19122	1565	445	1833
2024-05-24 13:25	1358	4053	0	360	972	-313	-2769	-123	19179	1566	445	1832
2024-05-24 13:30	1324	4051	0	362	974	-333	-2659	-123	19149	1569	445	1794
2024-05-24 13:35	1361	4050	0	362	966	-419	-2628	-123	19119	1570	445	1790
2024-05-24 13:40	1354	4051	0	361	962	-539	-2728	-123	19112	1571	445	1826
2024-05-24 13:45	1313	4052	0	361	967	-593	-2800	-123	19144	1573	445	1823
2024-05-24 13:50	1332	4052	0	361	949	-695	-2575	-123	18944	1575	445	1790
2024-05-24 13:55	1360	4053	0	361	930	-723	-2494	-123	18934	1576	445	1815
2024-05-24 14:00	1362	4048	0	354	951	-777	-2749	-123	19069	1574	445	1821
2024-05-24 14:05	1371	4047	0	357	956	-783	-2796	-123	19027	1572	452	1810
2024-05-24 14:10	1394	4050	0	357	961	-791	-2767	-123	18969	1569	452	1759
2024-05-24 14:15	1426	4047	0	355	978	-839	-2455	-123	18972	1551	452	1755
2024-05-24 14:20	1449	4049	0	354	994	-733	-2400	-123	18840	1553	452	1790
2024-05-24 14:25	1472	4050	0	356	1015	-730	-2552	-123	18796	1551	452	1788
2024-05-24 14:30	1437	4048	0	356	1012	-773	-2564	-123	18621	1555	452	1784
2024-05-24 14:35	1424	4049	0	356	1019	-765	-2504	-123	18583	1556	452	1778
